,Date,Open,High,Low,Close,Adj Close,Volume
0,1990-04-06,641.268982,641.268982,641.268982,641.268982,641.2499389999999,0.0
1,1990-04-09,633.481995,633.481995,633.481995,633.481995,633.463196,0.0
2,1990-04-10,632.085999,632.085999,632.085999,632.085999,632.0672,0.0
3,1990-04-11,634.692993,634.692993,634.692993,634.692993,634.674133,0.0
4,1990-04-12,639.614014,639.614014,639.614014,639.614014,639.5950320000001,0.0
6,1990-04-16,640.013977,640.013977,640.013977,640.013977,639.994995,0.0
7,1990-04-17,641.8729860000001,641.8729860000001,641.8729860000001,641.8729860000001,641.853882,0.0
8,1990-04-18,640.528015,640.528015,640.528015,640.528015,640.509033,0.0
9,1990-04-19,643.9060059999999,643.9060059999999,643.9060059999999,643.9060059999999,643.886902,0.0
10,1990-04-20,641.685974,641.685974,641.685974,641.685974,641.666931,0.0
11,1990-04-23,643.909973,643.909973,643.909973,643.909973,643.8908690000001,0.0
12,1990-04-24,638.7979740000001,638.7979740000001,638.7979740000001,638.7979740000001,638.778992,0.0
17,1990-05-01,639.01001,639.01001,639.01001,639.01001,638.991028,0.0
18,1990-05-02,636.153992,636.153992,636.153992,636.153992,636.135132,0.0
19,1990-05-03,642.159973,642.159973,642.159973,642.159973,642.1408690000001,0.0
20,1990-05-04,643.0939940000001,643.0939940000001,643.0939940000001,643.0939940000001,643.07489,0.0
21,1990-05-07,641.945984,641.945984,641.945984,641.945984,641.92688,0.0
22,1990-05-08,642.984009,642.984009,642.984009,642.984009,642.9649049999999,0.0
23,1990-05-09,645.012024,645.012024,645.012024,645.012024,644.99292,0.0
25,1990-05-11,643.312012,643.312012,643.312012,643.312012,643.292908,0.0
26,1990-05-14,638.9219969999999,638.9219969999999,638.9219969999999,638.9219969999999,638.903015,0.0
27,1990-05-15,640.85498,640.85498,640.85498,640.85498,640.835999,0.0
28,1990-05-16,639.336975,639.336975,639.336975,639.336975,639.317993,0.0
29,1990-05-17,644.440979,644.440979,644.440979,644.440979,644.421875,0.0
31,1990-05-21,647.216003,647.216003,647.216003,647.216003,647.196777,0.0
32,1990-05-22,647.401001,647.401001,647.401001,647.401001,647.381775,0.0
33,1990-05-23,646.2470089999999,646.2470089999999,646.2470089999999,646.2470089999999,646.227783,0.0
35,1990-05-25,647.3599849999999,647.3599849999999,647.3599849999999,647.3599849999999,647.3407589999999,0.0
36,1990-05-28,640.130005,640.130005,640.130005,640.130005,640.111023,0.0
37,1990-05-29,641.1400150000001,641.1400150000001,641.1400150000001,641.1400150000001,641.121033,0.0
38,1990-05-30,640.580017,640.580017,640.580017,640.580017,640.561035,0.0
39,1990-05-31,636.400024,636.400024,636.400024,636.400024,636.381165,0.0
40,1990-06-01,635.02002,635.02002,635.02002,635.02002,635.0011599999999,0.0
41,1990-06-04,636.23999,636.23999,636.23999,636.23999,636.22113,0.0
42,1990-06-05,637.080017,637.080017,637.080017,637.080017,637.061096,0.0
43,1990-06-06,636.642029,636.642029,636.642029,636.642029,636.623108,0.0
44,1990-06-07,636.0,636.0,636.0,636.0,635.98114,0.0
45,1990-06-08,636.0599980000001,636.0599980000001,636.0599980000001,636.0599980000001,636.0411379999999,0.0
46,1990-06-11,634.76001,634.76001,634.76001,634.76001,634.74115,0.0
47,1990-06-12,634.419983,634.419983,634.419983,634.419983,634.401184,0.0
48,1990-06-13,631.380005,631.380005,631.380005,631.380005,631.361267,0.0
49,1990-06-14,630.299988,630.299988,630.299988,630.299988,630.2813110000001,0.0
50,1990-06-15,628.280029,628.280029,628.280029,628.280029,628.261353,0.0
51,1990-06-18,626.900024,626.900024,626.900024,626.900024,626.88147,0.0
52,1990-06-19,621.789978,621.789978,621.789978,621.789978,621.7715450000001,0.0
53,1990-06-20,622.429993,622.429993,622.429993,622.429993,622.411499,0.0
54,1990-06-21,622.97998,622.97998,622.97998,622.97998,622.961487,0.0
55,1990-06-22,623.950012,623.950012,623.950012,623.950012,623.931458,0.0
56,1990-06-25,626.1400150000001,626.1400150000001,626.1400150000001,626.1400150000001,626.12146,0.0
57,1990-06-26,623.76001,623.76001,623.76001,623.76001,623.741455,0.0
58,1990-06-27,627.099976,627.099976,627.099976,627.099976,627.08136,0.0
59,1990-06-28,626.76001,626.76001,626.76001,626.76001,626.741455,0.0
60,1990-06-29,624.320007,624.320007,624.320007,624.320007,624.301453,0.0
61,1990-07-02,629.4400019999999,629.4400019999999,629.4400019999999,629.4400019999999,629.421326,0.0
62,1990-07-03,629.700012,629.700012,629.700012,629.700012,629.681335,0.0
63,1990-07-04,629.7080080000001,629.7080080000001,629.7080080000001,629.7080080000001,629.6893309999999,0.0
64,1990-07-05,627.4229740000001,627.4229740000001,627.4229740000001,627.4229740000001,627.4042969999999,0.0
65,1990-07-06,626.810974,626.810974,626.810974,626.810974,626.792419,0.0
66,1990-07-09,623.2979740000001,623.2979740000001,623.2979740000001,623.2979740000001,623.27948,0.0
67,1990-07-10,624.601013,624.601013,624.601013,624.601013,624.582458,0.0
68,1990-07-11,627.4689940000001,627.4689940000001,627.4689940000001,627.4689940000001,627.450317,0.0
69,1990-07-12,627.9689940000001,627.9689940000001,627.9689940000001,627.9689940000001,627.950317,0.0
70,1990-07-13,630.020996,630.020996,630.020996,630.020996,630.002319,0.0
71,1990-07-16,630.734009,630.734009,630.734009,630.734009,630.715332,0.0
